function,protocol,address,command,full_value_lsb,legacy_msb_value,source_device,source_url,source_note,confidence,evidence
On,NEC,0x0000,0x47,0xB847FF00,0x00FFE21D,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed,Repeated On/Off/On tests; repeated On does not toggle.
Off,NEC,0x0000,0x43,0xBC43FF00,0x00FFC23D,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed,Lamp extinguished; repeated Off stays off. Color commands do not wake it.
Daily Lighting,NEC,0x0000,0x1C,0xE31CFF00,0x00FF38C7,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed,Selects steady white light; dimming tested in this mode.
Dim Up,NEC,0x0000,0x45,0xBA45FF00,0x00FFA25D,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed,Twelve separate presses restored white light from dim to bright.
Dim Down,NEC,0x0000,0x46,0xB946FF00,0x00FF629D,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed,Twelve separate presses visibly reduced white-light output.
Store 1,NEC,0x0000,0x07,0xF807FF00,0x00FFE01F,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed recall and adjustment,"Recalled orange initially, then the modified setting after wheel adjustment. Not a fixed orange command."
Store 2,NEC,0x0000,0x15,0xEA15FF00,0x00FFA857,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed recall and adjustment,"Initially cyan; adjusted toward blue, switched slots, and recalled the changed setting."
Red wheel,NEC,0x0000,0x0C,0xF30CFF00,0x00FF30CF,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed adjustment,Repeated presses moved the selected Store color toward red.
Yellow wheel,NEC,0x0000,0x5E,0xA15EFF00,0x00FF7A85,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed adjustment; hue label from F2 layout,Repeated presses moved red toward a pale warm/yellow appearance. Camera white balance prevents exact color measurement.
Blue wheel,NEC,0x0000,0x42,0xBD42FF00,0x00FF42BD,"MELPO BLFL-LFBA, Amazon ASIN B08T5XR951 (50 W RGBW IR model)",https://www.roweevents.ca/wp-content/uploads/2022/01/RGB-light.pdf,"Manual supplies control descriptions, NOT numeric IR codes. Codes recovered by local physical tests.",Confirmed adjustment,Repeated presses moved red/cyan toward blue-purple.
